id,date,open_price,high_price,low_price,close_price,volume
1,2021-07-03,20026.53585704652,20224.444954575647,19982.641098555254,20037.472011047957,4960697
2,2021-07-04,19924.720328818938,20213.92786994604,19921.515443205604,20014.06467289583,1091650
3,2021-07-05,20011.33658058458,20159.756590249766,19801.003336544993,20004.732110699442,4849413
4,2021-07-06,19956.205136924895,20230.801430854084,19581.149529117625,19960.763918605284,3835155
5,2021-07-07,19850.32287479597,19945.365884706498,19822.877763896235,19909.700848651588,1266220
6,2021-07-08,19796.30082470182,19973.770635219746,19699.075192280947,19919.709451640763,2363922
7,2021-07-09,19877.83614259083,20135.12430585816,19707.884682078744,19853.329433128405,1041242
8,2021-07-10,19775.97264887974,20088.264357694992,19803.428003239384,19869.118200844478,4728399
9,2021-07-11,20039.09306162799,20085.280485550207,19806.063568088503,19865.49703333543,2045581
10,2021-07-12,19844.639734256794,19823.209869641985,19528.09753795885,19771.052648072626,3491905
11,2021-07-13,19693.43240857144,20019.376071808776,19507.61635413999,19698.228573135006,2591517
12,2021-07-14,19819.97474469522,19808.910222278668,19538.773549773792,19673.294310597004,2349361
13,2021-07-15,19771.43034175381,19823.545560691087,19468.35699354602,19721.411980620316,2957385
14,2021-07-16,19833.96036544533,20123.94416816193,19430.40572592997,19754.137306562057,2789429
15,2021-07-17,19776.21615508718,19749.40171369689,19453.965055035664,19715.407979883716,1429532
16,2021-07-18,19488.959033879444,19683.413310967175,19334.059371422703,19657.444176331996,4332097
17,2021-07-19,19826.977826379512,19810.72810088664,19379.925370948527,19672.960870197745,2342296
18,2021-07-20,19718.150587962547,19972.70561910764,19645.54709910956,19771.47548251837,4535353
19,2021-07-21,19773.942068778684,19804.400125356235,19668.28214148832,19760.85820669581,2880643
20,2021-07-22,19857.152185680818,19878.21390985073,19709.089981899248,19761.273290128553,1433493
21,2021-07-23,19616.38146457353,20096.246991792956,19652.55684930235,19788.19697350312,1901876
22,2021-07-24,19801.377105578376,20074.624229908277,19473.28311200368,19768.104329681068,3251558
23,2021-07-25,19610.069695781003,20054.639019176793,19433.963672397476,19797.930949698748,2169438
24,2021-07-26,19636.422880854803,19958.028351833742,19632.06939811929,19803.953466986008,4332308
25,2021-07-27,19949.48432997215,20207.8851337169,19881.560289169418,19900.918711565697,2559618
26,2021-07-28,19731.934476562325,20072.589033035194,19746.674982018107,19872.208061102156,2098611
27,2021-07-29,19934.25532047365,19957.589572390585,19694.66873389548,19846.85206448522,2899416
28,2021-07-30,19719.279822110653,20011.52909167018,19657.397345227495,19751.053675967287,4165216
29,2021-07-31,19681.781781908445,20087.33181768602,19607.971856311928,19721.75376632763,4344713
30,2021-08-01,19798.17510663736,19857.52772499935,19570.757786120656,19642.44282610407,4937171
31,2021-08-02,19692.178867888528,19908.308922726465,19316.880163249105,19681.531281687327,1634327
32,2021-08-03,19539.29545931459,19924.977692956512,19534.391555005728,19625.67557194087,3745456
33,2021-08-04,19682.89970913924,19935.653471420723,19556.422411254032,19592.3367543951,3804137
